time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,158	0,003	0,157
0,1	0,510	0,019	0,315
0,2	0,945	0,995	-0,157
0,3	1,300	0,570	-0,157
0,4	1,451	-1,013	0,315
0,5	1,394	-1,013	0,630
0,6	1,236	-1,013	0,472
0,7	1,118	0,995	0,157
0,8	1,115	-0,808	0,000
0,9	1,205	0,995	0,000
1,0	1,303	0,995	0,157
1,1	1,333	0,633	0,157
1,2	1,282	-1,013	0,157
1,3	1,199	-1,013	0,000
1,4	1,152	-0,052	0,000
1,5	1,183	0,995	0,157
1,6	1,287	0,995	0,157
1,7	1,410	-1,013	0,157
1,8	1,479	-1,013	0,157
1,9	1,437	-0,974	0,157
2,0	1,279	0,995	0,000
2,1	1,069	0,995	0,000
2,2	0,909	-0,076	0,157
2,3	0,877	-0,422	0,157
2,4	0,973	-0,934	0,157
2,5	1,107	-1,013	0,000
2,6	1,156	0,058	0,000
2,7	1,045	0,814	0,157
2,8	0,799	0,688	0,157
2,9	0,526	0,208	0,157
3,0	0,334	-0,226	0,157
3,1	0,271	-0,296	0,157
3,2	0,298	-0,163	0,157
3,3	0,339	0,113	0,157
3,4	0,338	0,310	0,157
3,5	0,291	0,208	0,157
3,6	0,232	-0,068	0,157
3,7	0,194	-0,210	0,157
3,8	0,186	-0,052	0,157
3,9	0,192	0,152	0,157
4,0	0,192	0,137	0,157
4,1	0,176	-0,068	0,157
4,2	0,150	-0,155	0,157
4,3	0,122	-0,068	0,157
4,4	0,100	0,058	0,157
4,5	0,084	0,074	0,000
4,6	0,076	0,003	0,157
4,7	0,071	-0,060	0,157
4,8	0,070	-0,068	0,157
4,9	0,067	-0,021	0,157
5,0	0,061	0,042	0,157
5,1	0,053	0,042	0,000
5,2	0,046	-0,005	0,157
5,3	0,044	-0,044	0,157
5,4	0,045	-0,029	0,157
5,5	0,046	0,019	0,157
5,6	0,045	0,042	0,157
5,7	0,044	0,011	0,000
5,8	0,046	-0,037	0,000
5,9	0,053	-0,052	0,157
6,0	0,060	-0,021	0,157
6,1	0,061	0,026	0,157
6,2	0,051	0,050	0,157
6,3	0,035	0,026	0,000
6,4	0,022	0,003	0,157
6,5	0,018	-0,005	0,157
6,6	0,025	-0,021	0,157
6,7	0,037	-0,037	0,157
6,8	0,047	-0,013	0,157
6,9	0,051	0,026	0,157
7,0	0,051	0,050	0,000
7,1	0,051	0,034	0,157
7,2	0,054	-0,013	0,157
7,3	0,057	-0,052	0,157
7,4	0,059	-0,052	0,157
7,5	0,056	-0,021	0,157
7,6	0,048	0,019	0,000
7,7	0,038	0,034	0,157
7,8	0,029	0,026	0,157
7,9	0,021	0,011	0,000
8,0	0,017	-0,005	0,157
8,1	0,015	-0,013	0,000
8,2	0,016	-0,013	0,157
8,3	0,017	-0,013	0,157
8,4	0,019	-0,013	0,157
8,5	0,019	0,003	0,000
8,6	0,017	0,011	0,157
8,7	0,015	0,011	0,000
8,8	0,012	0,003	0,000
8,9	0,010	-0,005	0,157
9,0	0,009	-0,005	0,157
9,1	0,009	-0,005	0,000
9,2	0,009	0,003	0,157
9,3	0,009	-0,005	0,157
9,4	0,010	-0,005	0,157
9,5	0,011	0,003	0,157
9,6	0,013	0,011	0,157
9,7	0,014	0,011	0,157
9,8	0,015	0,003	0,157
9,9	0,016	-0,013	0,157
10,0	0,016	-0,013	0,157
10,1	0,015	-0,005	0,157
10,2	0,015	0,011	0,157
10,3	0,014	0,011	0,000
10,4	0,014	0,003	0,157
10,5	0,014	-0,013	0,157
10,6	0,014	-0,013	0,157
10,7	0,012	0,003	0,157
10,8	0,010	0,003	0,157
10,9	0,008	-0,005	0,000
11,0	0,007	-0,005	0,157
11,1	0,007	0,003	0,157
11,2	0,008	0,003	0,157
11,3	0,008	0,003	0,157
11,4	0,009	-0,005	0,157
11,5	0,009	-0,005	0,157
11,6	0,009	0,003	0,157
11,7	0,009	0,003	0,157
11,8	0,008	0,003	0,157
11,9	0,006	-0,005	0,157
12,0	0,005	0,003	0,157
12,1	0,005	0,003	0,157
12,2	0,007	-0,005	0,157
12,3	0,009	-0,005	0,157
12,4	0,011	-0,005	0,157
12,5	0,011	0,003	0,157
12,6	0,010	0,011	0,157
12,7	0,009	0,003	0,157
12,8	0,010	-0,005	0,157
12,9	0,013	-0,013	0,157
13,0	0,017	0,003	0,157
13,1	0,021	0,019	0,157
13,2	0,021	0,011	0,157
13,3	0,018	-0,013	0,000
13,4	0,014	-0,013	0,157
13,5	0,009	0,003	0,157
13,6	0,006	0,003	0,157
13,7	0,006	0,003	0,157
13,8	0,007	-0,005	0,157
13,9	0,008	-0,005	0,157
